,abacavir,abirateron,acetaminop,acetazolam,acetic,adefovir,adenosine,albuterol,alclometas,aliskiren,aluminum,amantadine,ambrisenta,amifostine,amikacin,amino,aminocapro,amiodarone,amitriptyl,amoxapine,amoxicilli,amphetamin,ampicillin,anagrelide,argatroban,aspirin,atropine,azacitidin,azithromyc,bacteriost,belladonna,benzonatat,betamethas,bivalirudi,bleomycin,bosentan,bromphenir,budesonide,bumetanide,bupivacain,busulfan,butenafine,calcipotri,calcitonin,calcium,capecitabi,captopril,carbamazep,cardene,caspofungi,cefazolin,cefdinir,cefixime,cefotaxime,cefotetan,cefoxitin,ceftazidim,cefuroxime,cetirizine,chloramphe,chlordiaze,chloroproc,chlorothia,ciprofloxa,cisatracur,cisplatin,cladribine,clindamyci,clobazam,clobetasol,clomiprami,clonazepam,clonidine,clozapine,codeine,colestipol,collagenas,conjugated,cortisone,cyclopento,cysteamine,cysteine,cytarabine,cytotec,dacarbazin,daptomycin,darifenaci,daunorubic,deferasiro,desipramin,desmopress,desogestre,dexamethas,dexmedetom,dextroamph,dextrose,diazepam,diclofenac,didanosine,diflorason,diflunisal,diflupredn,digoxin,diltiazem,disopyrami,disulfiram,dobutamine,dofetilide,dopamine,dorzolamid,doxepin,doxercalci,doxycyclin,echothioph,edetate,efavirenz,enalaprila,epinephrin,epoprosten,eptifibati,ergotamine,ertapenem,erythromyc,esomeprazo,ethambutol,ethinyl,etodolac,etomidate,etoposide,famotidine,febuxostat,fentanyl,finasterid,floxuridin,fluconazol,fludarabin,fludrocort,flumazenil,fluocinoni,fluorescei,fluorometh,fluoxetine,flurazepam,fluvoxamin,fosamprena,fosphenyto,furosemide,gatifloxac,gentamicin,glipizide,glucagon,glyburide,glycopyrro,granisetro,guanfacine,haloperido,heparin,hydralazin,hydrochlor,hydrocodon,hydrocorti,hydromorph,hydroxocob,hydroxychl,hydroxypro,hydroxypro,hydroxyzin,hyoscyamin,ibuprofen,idarubicin,ifosfamide,imipenem,imipramine,indomethac,insulin,interferon,isoniazid,itraconazo,ketamine,ketoprofen,ketorolac,lactulose,lamivudine,lamivudine,lanoxin,leucovorin,leuprolide,levoleucov,lidocaine,lindane,linezolid,liothyroni,lisinopril,lithium,lorazepam,loxapine,mannitol,meclizine,medroxypro,megestrol,meloxicam,memantine,mepivacain,mesalamine,metaxalone,metformin,methadone,methamphet,methimazol,methocarba,methotrexa,methyldopa,methylphen,methylpred,metoclopra,metoprolol,metronidaz,midazolam,mirtazapin,misoprosto,mitoxantro,mometasone,montelukas,morphine,moxifloxac,multi-vita,mycophenol,nafcillin,nalbuphine,naratripta,nateglinid,nebivolol,nedocromil,nefazodone,neomycin,nevirapine,nizatidine,norepineph,norethindr,nystatin,octreotide,olanzapine,olopatadin,omeprazole,ondansetro,oxaliplati,oxaprozin,oxcarbazep,oxybutynin,oxytocin,paclitaxel,paliperido,pantoprazo,peginterfe,pentamidin,pentostati,pentoxifyl,phenobarbi,physostigm,pindolol,pioglitazo,piroxicam,polymyxin,potassium,pramipexol,prednicarb,prednisolo,pregabalin,procainami,procardia,promethazi,propafenon,propofol,protamine,quinapril,ranolazine,remifentan,repaglinid,rifampin,risedronat,risperidon,ritonavir,rocuronium,ropivacain,rosuvastat,saquinavir,scopolamin,selenium,sertraline,sildenafil,silodosin,simvastati,sodium,somatropin,spironolac,stavudine,succimer,sucralfate,sufentanil,sulfacetam,sulfasalaz,sumatripta,synercid,tacrolimus,talwin,telmisarta,temozolomi,testostero,thallous,thiothixen,timolol,tizanidine,tobramycin,topotecan,trandolapr,tranexamic,triamcinol,triamteren,trimethobe,valproate,valproic,vancomycin,vareniclin,vecuronium,verapamil,vibramycin,vincristin,vinorelbin,vitamin,voriconazo,zafirlukas,zinc,zolmitript,zolpidem
3/31/91,,,1122881,27964,17995,,,71793,250,,3822,73158,,,,22621,0,12,558009,,851886,97,,,,184655,4943,,12,2751,,1949,60649,,0,,6412,,22,,,,,472,49101,,88,166557,,,174,,5671,0,,0,0,4064,,,90818,,8454,334911,,,,4131,,,,,225933,,53027,,14,,3325,185,,,0,,45,,,,,,1493,,24246,,0,5435,350669,,,65,,,54114,11177,,5093,0,,,,234444,,238984,359,,,,212,,,211,,834609,,47,25,,,12,405,,0,,,427,,,,38255,,422,,156409,231,,,1452699,,102430,7217,4587,11567,439,,3002,406442,10378,79400,367089,261621,365223,1735,0,344,0,0,402989,6685,916285,,,,163191,135353,,,21913,,,55,0,65149,,,,1825,0,,23920,255836,,109,1771,137343,430375,32858,0,262585,52182,10113,,,,,4363,29,6388,,87,65883,22458,211784,96455,27848,291039,,202476,,18,0,,1702,,10729,,1344,,29,30,,,,,,64508,,2518,,13740,384472,,,,5038,,,,,83742,,,,,,50,,9644,396102,0,,,847,50,341886,,,9935,,,,553879,31,,,,,,,254,,,,,,,,16,30701,,,,,95109,0,96488,,,3898,,79365,15535,,,0,,,,217,,,2145,,2421,,,,129261,278434,614,259,36819,827,,,121888,4133,612,,17235,,,4371,,
6/30/91,,,1599349,43601,26178,,,118158,414,,12956,89299,,,,29224,12,18,816287,,1049290,111,,,,285399,9786,,27,5723,,1882,104376,,0,,5837,,31,,,,,702,70487,,87,279312,,,730,,6398,11,0,0,0,4689,,,171910,,13853,513069,,,,7075,,,,,323746,,60527,,75,,5123,455,,,0,,74,,,,,,2054,,39296,,22,5823,535227,,,131,,,85360,19293,,9586,0,,0,,362415,,340821,482,,,,323,,,295,,919262,,68,19,28,,16,5649,,0,,,718,,,,66266,,1071,,201917,360,,,2299462,,180139,9439,7757,12091,612,,3871,628684,20321,116792,555100,438746,568506,3101,0,482,0,0,643365,9068,1282627,,,,256787,194384,,0,40000,,0,342,0,97765,,,,3243,52,,39300,255836,,94,214,223770,681564,56836,26,340239,76531,16057,,,,,7406,70,9933,,130,105174,33722,211784,163660,54036,429976,,316881,,36,616,0,2803,,17006,,2233,,34,239,,,,,,103255,,3697,,20463,593073,,,,9971,,,,,145362,,,,,,,,13318,573971,0,,0,1191,292,504660,,,15050,,,,561541,50,,,,,,,311,,,,,,,,34,53195,0,,,,152793,0,148178,,,0,,139690,26443,,,0,,,,492,,,3827,,4073,,,0,308959,470131,802,359,54949,1340,,,174815,4275,932,,28230,,,18697,,
9/30/91,,,2112945,48483,36264,,,126495,535,,12956,87135,,,12,32603,18,25,959775,,901776,113,,,,390768,11308,,17,7045,,1352,116680,,,,5884,,35,,,,,,104474,,101,311780,,,1094,,1116,0,0,,0,3905,,,239022,,15322,574585,,0,,10397,,,,,382724,,52162,,78,,5475,569,,,11,,70,,,,,,1668,,46673,,33,8312,601940,0,,111,,,103290,19522,,11805,0,,,,404807,,382543,498,,,,504,,,308,,806368,,76,23,1377,,14,5991,,87,,0,1051,,,,70025,0,714,23,201917,247,,,2706464,,211265,9616,8711,12073,761,,3736,733720,27392,139576,626959,475927,694020,4275,0,461,0,0,737368,10440,1521245,,,0,286583,228407,,11,48729,,0,406,14,80743,,,,4285,41,,48235,255836,,78,1060,262718,749803,71007,16,413804,91329,21080,,,,,7760,54,9934,,143,109476,40173,211784,150416,68152,524267,,381239,,20,951,0,3071,,18777,,2839,,57,443,,,,,,144688,,3482,,7714,708586,,,,11115,14,,,,176186,,,,,,14,,13222,677602,0,,,1288,570,622922,,,15077,,,,465462,56,,,,,,,311,,,,,,,,32,56331,0,,,,183504,0,172089,,,4685,,137433,31387,,,0,,,,659,,,4440,,4320,,,,424252,686938,900,449,69505,1906,,,192037,3644,1419,,40696,,,11796,,
12/31/91,,,2036275,47837,32413,,,152938,617,,12956,146460,,,,34858,13,51,946213,,1449972,104,,,,393566,11959,,20,6948,,1381,111580,,15,,9858,,39,,,,,858,93773,,74,322572,,,1521,,9588,0,0,,0,5592,,,247638,,14806,625002,,0,,11459,,,,,361021,,71743,,150,,6114,534,,,22,,74,,,,,,1352,,59697,,34,13335,625474,24,0,164,,,116993,20673,,11772,14,,0,,409688,,439076,315,,,,567,,,295,,1128540,,69,24,2369,,32,6757,,165,,0,1130,,,,69758,0,966,71,201917,204,,,2634437,,195958,10401,8329,14998,578,,3791,705654,30086,128920,596666,504814,640854,4010,0,616,13,13,734269,11945,1506006,,,0,298380,211397,,0,48232,,0,507,,82391,,,,4527,37,,51382,255836,,57,695,263203,813561,72928,12,412009,91986,20939,,,,,9100,46,9996,,151,109055,41585,211784,227819,69511,513589,,386230,,14,1190,0,3039,,20819,,3383,,67,713,,,,,,152066,,4522,,21040,744530,,,,14445,11,,,,187737,,,,,,29,,13684,645931,0,0,,1478,761,613370,,,18285,,,,713501,90,,263,,,,,425,,,,,,,,42,59537,0,,,,190371,18,163609,,0,4895,,130849,30598,,,,,,,621,,,4634,,5065,,,0,383975,678315,1090,478,68217,2721,,,177567,3762,1410,,41101,,,14902,,
3/31/92,,,2365155,50930,32654,,,162292,685,,27315,183731,,,0,40665,0,63,1073029,,1823225,65,,,,436855,11863,,33,8669,,253,109815,,0,,15833,,32,25,,,,432,98789,,59,361160,,,2142,,9914,0,0,,0,5317,,,239275,,15007,614618,,,,13229,,,,20,397052,,70970,,224,,6030,472,,,12,,90,,,,,,2286,,58146,,38,13943,652030,43,66,139,,,144224,19743,,12367,0,,0,,456609,,482125,468,,,,538,,,351,,1350283,,93,58,731,,0,7252,,228,,,1223,,,,72442,0,654,,201917,181,,,2892636,,214605,10271,9492,14896,531,,3522,754171,31582,136929,641227,539654,666644,4674,0,609,11,11,814928,12730,1625842,,,,347669,228682,,0,54884,,,441,16,84728,,,,4998,0,,53855,255836,,47,1687,290403,872575,81555,14,446310,96743,22859,,,,,9408,73,10613,,132,114497,45771,211784,286416,64565,563686,,392964,,11,1353,0,3072,,20617,,5226,,171,723,,,,,,188003,,5155,,21364,828293,,,,13415,0,,,,201648,,,,,,52,,12950,673460,0,0,,1448,1101,631522,,,17027,,,,978171,102,,148,,,,,220,,,,,,,,57,61578,185,,,21,218088,14,172677,,,5360,13,184138,32540,,,,,,,877,,,5220,,6302,,,0,418256,733475,1543,529,74121,2620,,,188285,3394,1514,,44071,,,16301,,
6/30/92,,,2183680,47062,32132,,,198421,685,,25060,97738,,,0,34652,0,63,1010163,,1405265,52,,,,422994,11643,,431,7695,,157,112292,,0,,13381,,32,12,,,,1214,88871,,45,373442,,,1944,,9975,0,0,18,0,5306,,,220644,,13944,570027,,,,14059,,,,,379099,,59475,,224,,6427,512,,,48,,104,,,,,,2276,,59258,,120,13843,618669,34,66,127,,,165207,14583,,11507,0,,32,,425246,,412206,482,,,,562,,,336,,1016077,,93,53,805,,0,887,,292,,,1223,0,,,77641,0,686,0,201917,109,,,2826040,,212914,10271,9757,11844,586,,3522,777256,32326,127819,601965,489262,640550,5231,0,609,13,13,844304,14234,1489724,,,,335333,212285,,0,60401,,,441,18,92934,,,,5987,0,,53096,255836,,114,47,279520,830629,77152,0,429971,94830,23390,,,,0,10367,67,9759,,132,104196,45995,211784,289991,76936,548726,,393110,,11,1507,0,3072,,20971,,5104,,111,532,,,,,,194620,,5154,,19555,785717,,,,12716,12,,,,198115,0,,,,,42,,12949,644403,0,0,,1448,1077,632510,,,17859,,,,657610,102,,59,421,,,,220,,,,,,,,57,60087,3375,,,,218020,17,167966,,0,23,0,183222,31749,,,,,,,989,,,9739,,6326,,,0,432295,716835,1348,527,73148,3100,,,171132,2621,1233,,45767,,,34360,,
9/30/92,,,2423762,40181,37908,,0,412297,1073,,28070,91929,,,0,30594,0,93,1055653,,1056271,40,,,,456929,11845,,1829,9394,,88,109422,,0,,9359,,0,0,0,,,460,117341,,0,400748,,,1727,,1016,0,0,,0,3411,,,239161,,13972,603327,,0,,15089,,,,,378867,,44178,,336,,5884,389,,,42,,78,,,,,,1815,,59375,,85,12017,651382,52,0,110,128,,148945,17819,,13311,0,,72,,445178,,388275,440,,,,594,,,168,,817037,,157,41,880,,34,694,,388,31,,1520,,,,78052,0,754,8514,201917,70,,,2963320,,203308,10297,11286,1005,530,,2201,813824,34230,123792,594350,553096,609554,5778,0,632,33,33,870580,14743,1472562,,,0,345994,212362,,0,52558,,,397,,106549,,,,5025,0,,53284,255836,,62,18,302184,946182,81326,0,448581,94040,24252,,,,,13305,16,11419,,130,114757,44747,211784,252532,92602,585493,,409471,,0,1675,0,3362,,22692,,6761,,140,385,,,,,,236836,,6176,,7553,836335,,,,13035,11,,,,219548,0,0,,,,59,,,653875,0,24,,12143,1299,665875,,,15433,,,,551613,120,,28,683,,,,247,,,,,,,,41,66131,7584,,,480,217283,17,174773,,0,24,,145839,33553,,,,,,,1144,,,3148,,6438,,,0,459810,720519,1067,581,78607,3674,,,168331,2006,1185,,51138,,,17933,,
12/31/92,,,2860537,41314,34344,,,956469,929,,28070,116436,,,0,31291,0,120,1105902,,1592244,45,,,,471369,12325,,3294,9557,,222,111488,,0,,16009,,0,0,0,,,1130,118579,,0,449921,,,2564,,8610,,0,0,0,4594,,,240230,,13681,647921,,0,,19103,,,,,399788,,52555,,386,,6395,566,,0,66,,130,,,,,,1986,,64870,,238,16390,663301,121,0,99,1592,,192522,72148,,14116,0,,32,,456472,,460963,420,,,,859,,,189,,1034370,,140,52,954,,38,817,,697,,,1570,0,,,88888,0,771,,201917,48,,,2999992,,191776,10341,11157,13737,622,,3329,930119,37960,123531,607161,539521,426196,6094,0,714,24,24,879545,18765,1602452,,,0,378931,210866,,15,68030,33,0,99,0,112226,,,,6096,0,,58600,255836,,88,11,261483,962501,86876,28,372858,104314,25685,,,,0,14769,133,11779,,124,121108,49499,211784,378593,87022,604860,,421013,,0,1666,0,3450,,23592,,6711,,195,430,,,,,,214072,,6649,,18542,804099,,,,12809,23,,,,232432,,,,,,49,,12606,669293,0,638,,137291,1053,709104,,,13727,,,,788815,128,,0,928,,,,218,,,,,,,,44,67256,11292,,,,235008,32,173590,,0,4891,0,153228,35419,,,,,,,1176,,,4692,,7274,,,0,291762,736330,1234,590,83401,4310,,,236268,2421,1251,,54205,,,19493,,
3/31/93,,,3099108,42929,34315,,,1336860,1283,,28070,164460,,,16,32122,0,144,1152867,,1975204,35,,,,558468,12893,,0,9552,,336,112698,,,,26015,,0,0,0,,,1223,104533,,12,477345,,,2143,,15169,,0,,0,7729,,,239064,,13158,696511,,,,20825,,,,,420392,,72230,,463,,5586,545,,0,61,,88,,,,,,2136,790,68584,,370,16729,695051,195,0,53,28941,,202946,255132,,14238,0,,0,,468754,,504620,157,,,,628,,,312,,1376073,,0,50,978,,34,959,,673,,0,1756,,,,97457,0,732,,201917,24,,,3048137,,227430,10901,11927,47338,747,,2145,988350,39284,124986,612255,693213,600598,6142,0,,30,30,921606,22507,1652002,,0,,395179,217464,,0,71426,133,0,9697,45,112319,,,,6350,88,,63781,255836,,81,12,307196,1008720,88108,14,450255,104076,27259,,,,0,16757,109,13730,0,158,125066,57581,211784,439424,85386,629145,,398895,,0,1700,0,4059,,25811,,7776,,156,562,,,,,,239388,,7206,,17767,900783,,,,13732,34,,432,,236996,,,,,,55,,12830,685826,0,4496,,229155,1558,757147,,,20441,,,,1019601,155,,20,46,,,,305,,,,,,,,52,66367,5564,,,,256238,39,175999,,0,5473,0,203301,37374,,,,,,,1285,,,4858,,8861,,,0,429410,754783,1748,445,88430,4383,,,342491,2414,1247,,65407,,,19863,,
6/30/93,,,2975405,38939,35168,,0,1232913,1457,,28758,118498,,,48,23912,0,168,1138380,,1706035,29,,,,572103,13059,,,11197,30,1943,111193,,,,17602,,,,0,,,618,128317,,,493255,,,2871,,11676,,0,0,0,4517,,,216294,,12604,653945,,,,21883,,,,,424497,,49814,,472,,4040,823,,,107,,267,,,,,,2039,1552,75062,,550,17448,706327,289,11,70,48862,,207588,324081,,14286,17,,0,,452692,,442705,164,,,,731,,,384,,1045467,,160,19,1023,,38,809,,778,,0,1962,,,,104520,0,792,,201917,,,,3084480,,240931,11110,12432,13601,828,,1461,983333,39539,118371,616370,816666,596415,6566,0,865,11,11,980568,23430,1574786,,,,396723,215625,,23,74219,185,,52274,0,103290,,,,6702,76,,61008,255836,,34,0,273943,1010573,88195,46,466521,108578,28292,,,0,,19155,102,12740,,151,128649,56930,211784,459893,103665,629883,,394948,,0,1627,0,4162,,26192,,7779,,175,769,,,,,,249855,,6961,,15173,899689,,,,11727,26,,4169,,235494,,,,,,56,,12853,664528,0,8141,,257251,1817,791219,,,20974,,,,737011,142,,11,1413,,,,285,,,,,,,,47,69132,6798,,,,264448,45,170834,,,5043,,212113,37785,,,,,,,1454,,,4281,,9094,,,,459336,744340,1421,433,90311,4904,,,358478,2207,1354,,62797,,,21359,,
